20:22:04 [INFO] Found netvar: m_flTimerLength => 0x29A4
20:22:04 [INFO] Found netvar: m_flDefuseLength => 0x29B8
20:22:04 [INFO] Found netvar: m_flDefuseCountDown => 0x29BC
20:22:04 [INFO] Found netvar: m_nBombSite => 0x2994
20:22:04 [INFO] Found netvar: cs_gamerules_data => 0x0
20:22:04 [INFO] Found netvar: m_SurvivalRules => 0xD00
20:22:04 [INFO] Found netvar: m_SurvivalGameRuleDecisionTypes => 0x1328
20:22:04 [INFO] Found netvar: m_bIsValveDS => 0x7C
20:22:04 [INFO] Found netvar: m_bFreezePeriod => 0x20
20:22:04 [INFO] Found netvar: m_bBombPlanted => 0x9A5
20:22:04 [INFO] Found netvar: m_bIsQueuedMatchmaking => 0x74
20:22:04 [INFO] Found netvar: m_flSimulationTime => 0x268
20:22:04 [INFO] Found netvar: m_flLowerBodyYawTarget => 0x9ADC
20:22:04 [INFO] Found netvar: m_angEyeAnglesX => 0x117D0
20:22:04 [INFO] Found netvar: m_angEyeAnglesY => 0x117D4
20:22:04 [INFO] Found netvar: m_flNextAttack => 0x2D80
20:22:04 [INFO] Found netvar: m_iMostRecentModelBoneCounter => 0x268C
20:22:04 [INFO] Found netvar: m_flLastBoneSetupTime => 0x28C0
20:22:04 [INFO] Found netvar: m_bStartedArming => 0x3400
20:22:04 [INFO] Found netvar: m_bUseCustomBloomScale => 0x9DA
20:22:04 [INFO] Found netvar: m_bUseCustomAutoExposureMin => 0x9D8
20:22:05 [INFO] Found netvar: m_bUseCustomAutoExposureMax => 0x9D9
20:22:05 [INFO] Found netvar: m_flCustomBloomScale => 0x9E4
20:22:05 [INFO] Found netvar: m_flCustomAutoExposureMin => 0x9DC
20:22:05 [INFO] Found netvar: m_flCustomAutoExposureMax => 0x9E0
20:22:05 [INFO] Found netvar: m_nViewModelIndex => 0x29D0
20:22:05 [INFO] Finished netvar scanning: 93/93 items successful
